款式代號,胸型屬性
5775,秀氣勻稱型
60491,秀氣勻稱型
60501,秀氣勻稱型
81021,秀氣勻稱型
9102,秀氣勻稱型
91061,秀氣勻稱型
N76011,秀氣勻稱型
R81031,秀氣勻稱型
R81051,秀氣勻稱型
R86031,秀氣勻稱型
R86051,秀氣勻稱型
R86081,秀氣勻稱型
R86101,秀氣勻稱型
R86111,秀氣勻稱型
R86121,秀氣勻稱型
R86131,秀氣勻稱型
R86171,秀氣勻稱型
R86211,秀氣勻稱型
R86221,秀氣勻稱型
R86231,秀氣勻稱型
R86251,秀氣勻稱型
R86261,秀氣勻稱型
R86281,秀氣勻稱型
R86301,秀氣勻稱型
R86351,秀氣勻稱型
R86361,秀氣勻稱型
R86551,秀氣勻稱型
R86571,秀氣勻稱型
R86581,秀氣勻稱型
R86591,秀氣勻稱型
R86601,秀氣勻稱型
R86611,秀氣勻稱型
R91101,秀氣勻稱型
5775,自然美感型
60491,自然美感型
60501,自然美感型
81021,自然美感型
9102,自然美感型
91061,自然美感型
N76011,自然美感型
R81031,自然美感型
R81051,自然美感型
R86031,自然美感型
R86051,自然美感型
R86081,自然美感型
R86101,自然美感型
R86111,自然美感型
R86121,自然美感型
R86131,自然美感型
R86171,自然美感型
R86211,自然美感型
R86221,自然美感型
R86231,自然美感型
R86251,自然美感型
R86261,自然美感型
R86281,自然美感型
R86301,自然美感型
R86351,自然美感型
R86361,自然美感型
R86551,自然美感型
R86571,自然美感型
R86581,自然美感型
R86591,自然美感型
R86601,自然美感型
R86611,自然美感型
R91101,自然美感型
60492,成熟承托型
R86062,成熟承托型
R86112,成熟承托型
R86222,成熟承托型
R86232,成熟承托型
R86262,成熟承托型
R8631,成熟承托型
R86352,成熟承托型
R86552,成熟承托型
R86572,成熟承托型
R86582,成熟承托型
R8659,成熟承托型
N7602,氣質柔順型
R70012,氣質柔順型
R70022,氣質柔順型
R70032,氣質柔順型
R8611,氣質柔順型
R8627,氣質柔順型
R8630,氣質柔順型
R8631,氣質柔順型
R86352,氣質柔順型
R86552,氣質柔順型
R8657,氣質柔順型
R86572,氣質柔順型
R8658,氣質柔順型
R86582,氣質柔順型
R8659,氣質柔順型
R7001,渾圓美胸型
R7002,渾圓美胸型
R7003,渾圓美胸型
R86333,渾圓美胸型
R86353,渾圓美胸型
R86553,渾圓美胸型
R7001, 柔潤水滴型
R7002, 柔潤水滴型
R7003, 柔潤水滴型
R86333, 柔潤水滴型
R86353, 柔潤水滴型
R86553, 柔潤水滴型
R8610,秀氣勻稱型
R8611,秀氣勻稱型
R8622,秀氣勻稱型
R8626,秀氣勻稱型
R8629,秀氣勻稱型
R8630,秀氣勻稱型
R8631,秀氣勻稱型
R8633,秀氣勻稱型
R8635,秀氣勻稱型
R8636,秀氣勻稱型
R8655,秀氣勻稱型
R8657,秀氣勻稱型
R8658,秀氣勻稱型
R8659,秀氣勻稱型
R8661,秀氣勻稱型
R8623,秀氣勻稱型
R8628,秀氣勻稱型
R8622,柔潤水滴型 
R8626,柔潤水滴型 
R8629,柔潤水滴型 
R8630,柔潤水滴型 
R8631,柔潤水滴型 
R8633,柔潤水滴型 
R8635,柔潤水滴型 
R8636,柔潤水滴型 
R8655,柔潤水滴型 
R8657,柔潤水滴型 
R8658,柔潤水滴型 
R8659,柔潤水滴型 
R8661,柔潤水滴型 
R8623,柔潤水滴型 
R8628,柔潤水滴型 
R8622,渾圓美胸型
R8626,渾圓美胸型
R8629,渾圓美胸型
R8630,渾圓美胸型
R8631,渾圓美胸型
R8633,渾圓美胸型
R8635,渾圓美胸型
R8636,渾圓美胸型
R8655,渾圓美胸型
R8657,渾圓美胸型
R8658,渾圓美胸型
R8659,渾圓美胸型
R8661,渾圓美胸型
R8623,渾圓美胸型
R8628,渾圓美胸型
R9107,渾圓美胸型
R9110,渾圓美胸型
z10031,成熟承托型
